,household_key,age_45_plus,income_50K_plus,single_couple_family,has_kids,single,couple,r_score,f_score,m_score,rfm_score,rfm_bins,alcohol,beverages,concessions,dairy,drug,garden,grain_goods,grocery,home_family,junk_food,kitchen,meat,misc,produce,seasonal,total_sales
38,109,0,0,2,0,1,0,5,4,4,13,4,328.82,138.35,94.36,286.71,79.53999999999999,21.96,314.69,196.8,282.43,294.1,5.73,684.99,268.48,456.15,47.96000000000001,3501.0700000000006
39,110,0,0,1,0,1,0,5,5,4,14,4,226.42000000000002,138.18,48.39,284.5,58.11,11.24,286.06,84.33,304.38,158.45000000000002,0.0,654.91,175.25,477.61,5.38,2913.2100000000005
40,113,0,1,3,1,0,0,5,5,5,15,5,248.97,730.43,104.82000000000001,1548.71,235.53,62.96,1502.65,612.78,1860.25,1097.93,35.760000000000005,1850.0,839.3100000000001,1732.44,225.59000000000003,12688.130000000001
41,114,0,0,2,0,0,1,5,3,4,12,3,0.0,100.43,86.01,255.78,74.32000000000001,31.96,275.08,146.19,517.44,384.25,12.870000000000001,439.8,177.5,86.60000000000001,5.970000000000001,2594.2
42,117,1,0,2,0,0,1,5,3,3,11,3,0.0,220.98,58.31,146.48,52.42,0.0,407.73,132.62,137.87,187.7,0.0,393.16,135.27,373.42,1.5,2247.46
43,118,1,0,1,0,1,0,5,3,4,12,3,253.33,496.07,55.75,241.1,105.68,2.99,235.54,162.59,767.47,136.44,10.48,594.76,279.85,721.35,0.0,4063.3999999999996
44,119,1,1,1,0,1,0,4,3,4,11,3,39.33,83.42,89.69,219.3,77.41,2.99,185.94,246.74,567.09,191.74,4.99,415.31,124.21000000000001,217.58,2.99,2468.7299999999996
45,121,1,0,3,1,0,0,3,4,3,10,3,10.99,101.9,13.47,128.33,14.86,0.0,179.97,138.77,165.22,186.88,0.0,866.99,173.13,180.28,2.79,2163.5800000000004
46,123,1,0,2,0,0,1,4,5,4,13,4,141.65,122.92,2.85,260.2,13.14,0.0,393.38,97.81,250.55,194.02,0.0,888.67,123.78,370.66,0.0,2859.63
47,127,1,0,1,0,1,0,5,5,4,14,4,111.14,131.3,92.49,474.06,41.11,0.0,430.78000000000003,176.62,393.76,299.57,18.130000000000003,789.46,345.8,476.9,14.940000000000001,3796.0600000000004
48,131,1,1,2,0,0,1,4,5,5,14,4,218.84,203.47,110.04,421.09,115.29,7.98,315.86,118.84,1038.93,415.8,11.91,982.13,326.54,388.69,11.48,4686.889999999999
49,133,1,0,2,0,1,0,5,3,4,12,3,24.47,185.18,153.8,382.25,18.66,2.49,446.56,257.24,219.28,308.12,2.99,653.63,236.7,905.3100000000001,27.21,3823.89
50,134,1,0,2,0,1,0,5,3,5,13,4,37.730000000000004,264.52,44.550000000000004,468.88,92.79,3.99,522.29,141.42000000000002,331.08,887.5600000000001,19.57,1439.88,264.44,345.63,7.49,4871.82
51,136,1,1,1,0,1,0,4,3,4,11,3,25.97,228.98,10.46,207.78,11.370000000000001,0.0,197.84,111.67,82.77,763.83,0.0,569.18,264.71,325.27,4.99,2804.8199999999997
52,139,0,1,1,0,1,0,4,3,4,11,3,67.68,345.08,189.49,171.33,4.99,0.0,132.37,160.75,191.91,611.18,0.0,278.61,115.8,451.99,20.48,2741.6600000000003
53,149,1,0,2,0,0,1,3,4,5,12,3,274.72,878.32,89.8,712.86,176.51,5.48,446.47,241.44,1419.63,919.85,0.0,1694.3700000000001,342.68,945.65,2.48,8150.259999999999
54,155,0,1,3,1,0,0,5,2,3,10,3,252.92000000000002,214.83,6.0,324.32,16.86,0.0,164.13,61.95,184.46,191.06,0.0,456.95,82.56,112.26,0.0,2068.3
55,157,0,0,2,0,0,1,5,5,4,14,4,0.0,288.34000000000003,31.46,218.44,127.75,0.0,331.86,70.58,470.96000000000004,375.56,5.18,234.38,118.3,219.18,0.5,2492.4900000000002
56,158,1,1,1,0,1,0,5,5,3,13,4,893.4799999999999,51.69,7.99,177.21,20.72,0.0,121.35,4.0,79.36,24.5,0.0,257.49,109.58,122.42,0.0,1869.7899999999997
57,159,1,0,2,0,0,1,4,3,3,10,3,140.73000000000002,112.43,22.279999999999998,174.48,18.6,0.0,260.95,111.3,68.9,173.34,0.0,625.12,121.63,254.65,0.0,2084.4100000000003
58,161,0,1,3,1,0,0,5,5,5,15,5,144.31,75.57000000000001,5.48,460.45,246.33,2.99,365.01,146.42000000000002,831.14,1467.64,4.39,1379.03,250.11,433.04,6.74,5818.65
59,164,1,0,2,0,0,1,5,4,4,13,4,28.880000000000003,466.8,39.06,397.58,74.8,7.38,330.83,280.02,426.14,430.06,10.93,1015.67,345.05,239.75,31.46,4124.41
60,165,1,0,2,0,0,1,5,4,3,12,3,0.0,20.46,47.07,307.09,42.1,20.77,169.4,43.53,65.5,249.71,0.0,768.66,64.31,299.57,3.34,2101.51
61,166,0,1,3,1,0,0,5,4,4,13,4,518.3000000000001,76.59,67.71000000000001,665.32,33.74,2.99,256.48,17.5,371.76,323.3,18.94,409.68,107.67,124.16,10.95,3005.0899999999997
62,170,0,1,3,1,0,0,4,2,3,9,3,0.0,53.07,36.01,176.02,23.580000000000002,3.99,296.95,60.75,125.29,219.05,4.99,276.09,75.75,321.63,7.23,1680.4
63,178,0,0,3,1,0,0,5,5,3,13,4,497.88,147.84,25.51,60.19,93.68,4.49,91.51,32.21,505.73,262.58,1.99,162.4,44.55,17.39,0.5,1948.4500000000003
64,184,1,0,1,0,1,0,5,5,5,15,5,151.69,146.49,123.11,878.49,296.81,1.99,281.43,184.49,585.35,300.35,18.950000000000003,1947.0,336.06,467.68,0.99,5720.88
65,192,1,0,2,0,1,0,5,3,4,12,3,28.54,166.59,52.9,303.38,18.76,0.0,358.16,216.0,410.71,641.42,2.99,676.01,210.53,282.67,0.0,3368.6600000000003
66,193,1,1,2,0,0,1,4,4,4,12,3,35.59,247.89000000000001,11.33,193.53,26.47,5.970000000000001,205.41,182.46,473.15000000000003,761.94,11.99,504.86,103.66,87.7,0.0,2851.95
67,198,0,0,3,1,0,0,4,5,5,14,4,474.86,412.47,245.62,637.02,102.92,3.99,522.27,286.16,908.06,1458.29,7.9,1902.94,601.66,799.23,49.410000000000004,8412.8
